ID,IUPAC_Name,SMILES,Formula,CAS,CID,Identification_Confidence,Plasma_Detection_Number,Plasma_Detection_Rate,Seafood_Detection_Number,Seafood_Detection_Rate,PBT_QSAR_Label,PBT_GAT_Prob,PBT_GAT_Label,PBT_CNN2D_Prob,PBT_CNN2D_Label,Ensemble_PBT_Label,Has_Literature_Record,Max_Tanimoto_Similarity(Norman_Pollutant_Type),Pollutant_Type,First_PBT_Report,First_Environmental_and_Human_Detection
317,"cis-(1R,3S)-3-[[(3aR,5aR,5bR,7aR,9S,11aR,11bR,13aS)-3a-[(1R)-2-[(3-chlorobenzoyl)amino]-1-hydroxyethyl]-5a,5b,8,8,11a-pentamethyl-2-oxo-1-propan-2-yl-4,5,6,7,7a,9,10,11,11b,12,13,13a-dodecahydro-3H-cyclopenta[a]chrysen-9-yl]oxycarbonyl]-2,2-dimethylcyclobutane-1-carboxylic acid",CC(C)C1=C2[C@H]3CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)[C@H]6C[C@@H](C(=O)O)C6(C)C)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2([C@@H](O)CNC(=O)c2cccc(Cl)c2)CC1=O,C46H64ClNO7,,134814902.0,level 3,1,0.0052,33,0.234,1,0.569608,1,0.76470876,1,1,0,0.2857142857142857,Pharmaceuticals,1,1
318,"2-[2-[7-bromo-2-(2,2-dimethylpropyl)-2,3,3,4,6,7-hexamethyl-4-(2-methylpropyl)-6-[2-(trimethylazaniumyl)ethoxycarbonyl]octanoyl]oxyethoxy-hydroxyphosphoryl]oxyethyl-trimethylazanium",CC(C)CC(C)(CC(C)(C(=O)OCC[N+](C)(C)C)C(C)(C)Br)C(C)(C)C(C)(CC(C)(C)C)C(=O)OCCOP(=O)(O)OCC[N+](C)(C)C,C36H74BrN2O8P,,123825716.0,level 3,8,0.0412,40,0.2837,0,0.92402804,1,0.042558774,0,1,0,0.352112676056338,Pharmaceuticals,1,1
319,"(3S,4S)-2-[[3-[[(2-chloro-6-fluorophenyl)methyl-[(2S)-1-(dimethylamino)-4-methylpentan-2-yl]amino]methyl]phenyl]methyl]-4-[(1S)-1-hydroxyethyl]-N-[(1S,2S,3S,5R)-2,6,6-trimethyl-3-bicyclo[3.1.1]heptanyl]-1,2-oxazolidine-3-carboxamide",CC(C)C[C@@H](CN(C)C)N(Cc1cccc(CN2OC[C@@H]([C@H](C)O)[C@H]2C(=O)N[C@H]2C[C@H]3C[C@@H]([C@@H]2C)C3(C)C)c1)Cc1c(F)cccc1Cl,C39H58ClFN4O3,,163999738.0,level 3,55,0.2835,85,0.6028,1,0.9150202,1,0.09356347,0,1,0,0.2523364485981308,Pharmaceuticals,1,1
321,"N-[2-chloro-4-[(3,4-dichlorophenyl)sulfamoyl]phenyl]-3,3,3-trifluoro-2-hydroxy-2-methylpropanamide",CC(O)(C(=O)Nc1ccc(S(=O)(=O)Nc2ccc(Cl)c(Cl)c2)cc1Cl)C(F)(F)F,C16H12Cl3F3N2O4S,,17965746.0,level 3,112,0.5773,50,0.3546,0,0.978069,1,0.7039293,1,1,0,0.576271186440678,Pharmaceuticals,1,1
328,"N-[2-[[8-(chloroamino)-4-(ethylamino)octan-2-yl]amino]ethyl]-N-[[1-[2-[2-[(4,4,11,11-tetramethyl-3,5,7,10,12-pentaoxatricyclo[6.4.0.02,6]dodecan-9-yl)oxy]ethoxy]ethyl]triazol-4-yl]methyl]butanamide",CCCC(=O)N(CCNC(C)CC(CCCCNCl)NCC)Cc1cn(CCOCCOC2OC(C)(C)OC3C2OC2OC(C)(C)OC23)nn1,C34H62ClN7O8,,174253460.0,level 3,32,0.1649,91,0.6454,0,0.001487984,0,0.023978218,0,0,0,0.2403846153846154,Transformation and metabolic products,1,1
330,"methyl 4-[(Z)-2-(5-chloro-6-methyl-1H-indazol-4-yl)-1-fluoroethenyl]-6-[2-ethoxyethyl(ethyl)amino]-2-[[1-[2-(hydroxymethyl)pentyl]-3,4,5,6,7,7a-hexahydro-2H-cyclopenta[b]pyridin-4a-yl]methoxy]-N-methylpyrimidine-5-carboximidate",CCCC(CO)CN1CCCC2(COc3nc(/C(F)=C/c4c(Cl)c(C)cc5[nH]ncc45)c(C(=NC)OC)c(N(CC)CCOCC)n3)CCCC12,C38H55ClFN7O4,,176662652.0,level 3,6,0.0309,52,0.3688,1,0.006587162,0,0.014792752,0,1,0,0.2112676056338028,Industry and consumer goods,1,1
333,heptadecan-9-yl 8-[3-[(6-chloro-3-pyridinyl)methylsulfanylamino]propyl-(8-oxooctyl)amino]octanoate,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCCCCCCC=O)CCCNSCc1ccc(Cl)nc1,C42H76ClN3O3S,,156709968.0,level 3,5,0.0258,66,0.4681,0,2.4175744e-05,0,0.000108176,0,0,0,0.3947368421052631,Industry and consumer goods,1,1
338,"(3'R,4S,4'S,5'R,6'R)-3',4',5'-tributoxy-6'-(butoxymethyl)-7-chloro-6-[(4-ethylphenyl)methyl]spiro[2,3-dihydrochromene-4,2'-oxane]-2-ol",CCCCOC[C@H]1O[C@]2(CC(O)Oc3cc(Cl)c(Cc4ccc(CC)cc4)cc32)[C@H](OCCCC)[C@@H](OCCCC)[C@@H]1OCCCC,C39H59ClO7,,70855588.0,level 3,14,0.0722,29,0.2057,1,0.94478554,1,0.70974183,1,1,0,0.3214285714285714,Industry and consumer goods,1,1
340,"4-[4-[(2S)-2-[[5-(benzylamino)-5-oxopentanoyl]amino]-2-[1-butyl-4-(2,4-dichlorophenyl)imidazol-2-yl]ethyl]phenoxy]benzoic acid",CCCCn1cc(-c2ccc(Cl)cc2Cl)nc1[C@H](Cc1ccc(Oc2ccc(C(=O)O)cc2)cc1)NC(=O)CCCC(=O)NCc1ccccc1,C40H40Cl2N4O5,,60113671.0,level 3,7,0.0361,22,0.156,1,0.7909109,1,0.9768919,1,1,0,0.348314606741573,Transformation and metabolic products,1,1
342,"3-(4-chloro-2-propylphenyl)-5-[[2-[2-(8-methyl-3,4,6,7,9,9a-hexahydro-1H-pyrazino[1,2-a]pyrazin-2-yl)ethyl]cyclobutyl]methyl]-N-(3-methylhexan-2-ylsulfinyl)-3,4-dihydro-2H-1,5-benzoxazepine-7-carboxamide",CCCc1cc(Cl)ccc1C1COc2ccc(C(=O)NS(=O)C(C)C(C)CCC)cc2N(CC2CCC2CCN2CCN3CCN(C)CC3C2)C1,C41H62ClN5O3S,,142537622.0,level 3,25,0.1289,29,0.2057,0,0.12603015,0,0.6420882,1,1,0,0.2868217054263566,Pharmaceuticals,1,1
