recall,precision
0.9964200477326969,0.30418943533697634
0.9964200477326969,0.3043002915451895
0.9964200477326969,0.3044112285818447
0.9964200477326969,0.30452224653537563
0.9964200477326969,0.3046333454943451
0.9940334128878282,0.3041255932822198
0.9940334128878282,0.30423666910153396
0.9940334128878282,0.30434782608695654
0.9940334128878282,0.3045703839122486
0.9940334128878282,0.30479326747164287
0.9940334128878282,0.304904831625183
0.9940334128878282,0.30512820512820515
0.9940334128878282,0.30524001465738365
0.9928400954653938,0.30498533724340177
0.9928400954653938,0.3050971763843051
0.9928400954653938,0.30520909757887016
0.9928400954653938,0.3054331864904552
0.9928400954653938,0.305545354388542
0.9928400954653938,0.3057699375229695
0.9928400954653938,0.3058823529411765
0.9928400954653938,0.3059948510481795
0.9916467780429594,0.3057395143487859
0.9916467780429594,0.30585204269414795
0.9916467780429594,0.3060773480662983
0.9916467780429594,0.30619012527634487
0.9916467780429594,0.30630298562476965
0.9916467780429594,0.3064159292035398
0.9916467780429594,0.3065289561047584
0.9916467780429594,0.3067552602436323
0.9916467780429594,0.3070953436807095
0.9916467780429594,0.3076638282117734
0.9916467780429594,0.30777777777777776
0.9916467780429594,0.30789181178214153
0.9916467780429594,0.3081201334816463
0.9916467780429594,0.3082344213649852
0.9916467780429594,0.3083487940630798
0.9916467780429594,0.30846325167037864
0.9916467780429594,0.3085777942814705
0.9916467780429594,0.3086924219910847
0.9916467780429594,0.3088071348940914
0.9916467780429594,0.30892193308550187
0.9916467780429594,0.30903681666046856
0.9916467780429594,0.3091517857142857
0.9916467780429594,0.30926684034238927
0.9916467780429594,0.30938198064035743
0.9916467780429594,0.3094972067039106
0.9916467780429594,0.3096125186289121
0.9916467780429594,0.3097279165113679
0.9916467780429594,0.3098434004474273
0.9916467780429594,0.30995897053338306
0.9916467780429594,0.31007462686567167
0.9916467780429594,0.3101903695408735
0.9916467780429594,0.31030619865571324
0.9916467780429594,0.3104221143070601
0.9916467780429594,0.31053811659192826
0.9916467780429594,0.31065420560747664
0.9916467780429594,0.3107703814510097
0.9916467780429594,0.31100299401197606
0.9916467780429594,0.3112359550561798
0.9916467780429594,0.3113525665043087
0.9916467780429594,0.31146926536731634
0.9916467780429594,0.31158605174353204
0.9916467780429594,0.3117029257314329
0.9916467780429594,0.3119369369369369
0.9916467780429594,0.3120540743522343
0.9916467780429594,0.31217129977460556
0.9916467780429594,0.31228861330326946
0.9916467780429594,0.31323030531473806
0.9916467780429594,0.31334841628959276
0.9916467780429594,0.3134666163711807
0.9916467780429594,0.31358490566037733
0.9916467780429594,0.31370328425821065
0.9916467780429594,0.313821752265861
0.9916467780429594,0.3145344436033308
0.9904534606205251,0.31427489587277546
0.9904534606205251,0.3143939393939394
0.9904534606205251,0.3145130731337628
