ID,IUPAC_Name,SMILES,Formula,CAS,CID,Identification_Confidence,Plasma_Detection_Number,Plasma_Detection_Rate,Seafood_Detection_Number,Seafood_Detection_Rate,PBT_Detection_Rate>0.5,PBT_QSAR,PBT_Prob_GAT,PBT_Pred_GAT,PBT_Prob_CNN2D,PBT_Pred_CNN2D,PBT_Label,First_PBT_Identification,First_Environmental_and_Human_Detection,Tanimoto_Match_Source,Max_Tanimoto_Similarity,Tanimoto_Match>0.6,Pollutant_Type,SMILES_clean
567,"2,2,2-trichloroethyl (4R,6R,7R)-4-ethoxycarbonyloxy-3-methyl-8-oxo-7-[(2-phenoxyacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",CCOC(=O)O[C@@H]1S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2C(C(=O)OCC(Cl)(Cl)Cl)=C1C,C21H21Cl3N2O8S,,23252506,level 3,16,0.0825,0,0,0,0,0.024485271,0,2.1715035e-05,0,1,0,1,Norman_Human metabolites.csv,0.4683544303797468,0,Transformation and metabolic products,CCOC(=O)O[C@@H]1S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2C(C(=O)OCC(Cl)(Cl)Cl)=C1C
568,"ethyl 4-bromo-2-(bromomethyl)-5-(4-chlorophenyl)-1-[1-(1,3-dioxol-4-yl)-2-phenylethyl]pyrrole-3-carboxylate",CCOC(=O)c1c(Br)c(-c2ccc(Cl)cc2)n(C(Cc2ccccc2)C2=COCO2)c1CBr,C25H22Br2ClNO4,,68428693,level 3,1,0.0052,0,0,0,1,0.9780935,1,0.9740688,1,1,0,1,Norman_Human metabolites.csv,0.35,0,Transformation and metabolic products,CCOC(=O)c1c(Br)c(-c2ccc(Cl)cc2)n(C(Cc2ccccc2)C2=COCO2)c1CBr
569,ethyl 6-bromo-4-[(dimethylamino)methyl]-5-hydroxy-2-[(3-hydroxyphenyl)sulfanylmethyl]-1-methylindole-3-carboxylate,CCOC(=O)c1c(CSc2cccc(O)c2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,C22H25BrN2O4S,,137653866,level 3,2,0.0103,0,0,0,1,0.7687629,1,0.92848253,1,1,0,1,Industrial_chemical.csv;Norman_Human metabolites.csv;Norman_Pharmaceuticals.csv,0.8524590163934426,1,Pharmaceuticals,CCOC(=O)c1c(CSc2cccc(O)c2)n(C)c2cc(Br)c(O)c(CN(C)C)c12
570,"ethyl 3-(1,2-dibromo-3-ethoxy-3-oxopropyl)-2-methylsulfanylindolizine-1-carboxylate",CCOC(=O)c1c(SC)c(C(Br)C(Br)C(=O)OCC)n2ccccc12,C17H19Br2NO4S,,101042429,level 3,171,0.8814,0,0,1,1,0.61784124,1,0.6869222,1,1,0,1,Industrial_chemical.csv,0.3653846153846153,0,Industry and consumer goods,CCOC(=O)c1c(SC)c(C(Br)C(Br)C(=O)OCC)n2ccccc12
571,"ethyl 4,6-dibromo-5-[3-(4-fluorobenzoyl)-4-hydroxyphenoxy]-1-benzofuran-2-carboxylate",CCOC(=O)c1cc2c(Br)c(Oc3ccc(O)c(C(=O)c4ccc(F)cc4)c3)c(Br)cc2o1,C24H15Br2FO6,,22228626,level 3,46,0.2371,0,0,0,1,0.9599007,1,0.97243613,1,1,0,1,Norman_Indoor environment substances.csv;Industrial_chemical.csv;Norman_Human metabolites.csv,0.3934426229508196,0,Industry and consumer goods,CCOC(=O)c1cc2c(Br)c(Oc3ccc(O)c(C(=O)c4ccc(F)cc4)c3)c(Br)cc2o1
572,"benzyl (2R,3R)-1,1,1-trichloro-2-[(4-methylphenyl)sulfonylamino]pentane-3-sulfonate",CC[C@H]([C@@H](NS(=O)(=O)c1ccc(C)cc1)C(Cl)(Cl)Cl)S(=O)(=O)OCc1ccccc1,C19H22Cl3NO5S2,,102083712,level 3,74,0.3814,0,0,0,0,0.9078783,1,0.92449826,1,0,0,1,Industrial_chemical.csv;Norman_Human metabolites.csv,0.4561403508771929,0,Industry and consumer goods,CC[C@H]([C@@H](NS(=O)(=O)c1ccc(C)cc1)C(Cl)(Cl)Cl)S(=O)(=O)OCc1ccccc1
573,"[(2R,3R,4R,5R)-5-ethyl-4-methyl-2-[[(2R,3S,4S,5R,6S)-3,4,5-triacetyloxy-6-bromooxan-2-yl]methoxy]oxolan-3-yl] acetate",CC[C@H]1O[C@@H](OC[C@H]2O[C@@H](Br)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]2OC(C)=O)[C@H](OC(C)=O)[C@@H]1C,C21H31BrO11,,161946566,level 3,33,0.1701,0,0,0,0,0.001234496,0,0.08387343,0,1,0,1,Industrial_chemical.csv;Norman_Human metabolites.csv,0.5909090909090909,0,Industry and consumer goods,CC[C@H]1O[C@@H](OC[C@H]2O[C@@H](Br)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]2OC(C)=O)[C@H](OC(C)=O)[C@@H]1C
574,"4-[3-[[[2-chloro-5-[2-methyl-1-[5-(1,1,2,2,2-pentafluoroethyl)-4-(trifluoromethyl)-1H-pyrazol-3-yl]-3H-pyrazol-4-yl]benzoyl]-(1-cyanocyclopropyl)amino]methoxycarbonyloxy]propoxy]-4-oxobutanoic acid",CN1CC(c2ccc(Cl)c(C(=O)N(COC(=O)OCCCOC(=O)CCC(=O)O)C3(C#N)CC3)c2)=CN1c1n[nH]c(C(F)(F)C(F)(F)F)c1C(F)(F)F,C30H27ClF8N6O8,,175103026,level 3,8,0.0412,0,0,0,0,0.009006016,0,0.789228,1,0,0,1,EPA_PFAS.csv,0.3076923076923077,0,Industry and consumer goods,CN1CC(c2ccc(Cl)c(C(=O)N(COC(=O)OCCCOC(=O)CCC(=O)O)C3(C#N)CC3)c2)=CN1c1n[nH]c(C(F)(F)C(F)(F)F)c1C(F)(F)F
575,"4-(4-chlorophenyl)-11-methyl-5-(2-morpholin-4-yl-2-oxoethyl)sulfanyl-8-thia-4,6,11-triazatricyclo[7.4.0.02,7]trideca-1(9),2(7),5-trien-3-one",CN1CCc2c(sc3nc(SCC(=O)N4CCOCC4)n(-c4ccc(Cl)cc4)c(=O)c23)C1,C22H23ClN4O3S2,,5160172,level 3,87,0.4485,0,0,0,0,1.4144424e-05,0,0.04353655,0,0,0,1,Norman_Drugs of abuse.csv;Norman_Pharmaceuticals.csv;Norman_Human metabolites.csv;Industrial_chemical.csv;Norman_Human neurotoxins.csv,0.3150684931506849,0,Pharmaceuticals,CN1CCc2c(sc3nc(SCC(=O)N4CCOCC4)n(-c4ccc(Cl)cc4)c(=O)c23)C1
576,"2-[2-[(3-chloro-5,5-dihydroxy-6-methyl-11H-benzo[c][2,1]benzothiazepin-11-yl)amino]ethylsulfonyl]acetic acid",CN1c2ccccc2C(NCCS(=O)(=O)CC(=O)O)c2ccc(Cl)cc2S1(O)O,C18H21ClN2O6S2,,90355129,level 3,14,0.0722,0,0,0,0,0.002580912,0,0.004756737,0,1,0,1,Industrial_chemical.csv;Norman_Human metabolites.csv;Norman_Pharmaceuticals.csv,0.6060606060606061,1,Pharmaceuticals,CN1c2ccccc2C(NCCS(=O)(=O)CC(=O)O)c2ccc(Cl)cc2S1(O)O
577,4-azido-5-[2-chloro-6-[(3-iodobenzoyl)amino]purin-9-yl]-N-methyloxolane-2-carboxamide,CNC(=O)C1CC(N=[N+]=[N-])C(n2cnc3c(NC(=O)c4cccc(I)c4)nc(Cl)nc32)O1,C18H15ClIN9O3,,44293495,level 3,18,0.0928,0,0,0,0,0.060305003,0,0.8118037,1,1,0,1,Norman_Pharmaceuticals.csv,0.4831460674157303,0,Pharmaceuticals,CNC(=O)C1CC(N=[N+]=[N-])C(n2cnc3c(NC(=O)c4cccc(I)c4)nc(Cl)nc32)O1
578,4-[4-[[4-chloro-3-(trifluoromethoxy)phenyl]carbamoylamino]-3-fluorophenoxy]-N-methylpyridine-2-carboxamide,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(OC(F)(F)F)c3)c(F)c2)ccn1,C21H15ClF4N4O4,,155813764,level 3,2,0.0103,0,0,0,1,0.9232384,1,0.7812423,1,1,0,1,Norman_Pharmaceuticals.csv,0.7846153846153846,1,Pharmaceuticals,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(OC(F)(F)F)c3)c(F)c2)ccn1
579,"4-[[[2-[2-(2-chlorophenyl)-1,3-thiazol-4-yl]acetyl]-(furan-2-ylmethyl)amino]methyl]-N-methylbenzamide",CNC(=O)c1ccc(CN(Cc2ccco2)C(=O)Cc2csc(-c3ccccc3Cl)n2)cc1,C25H22ClN3O3S,,37433336,level 3,164,0.8454,0,0,1,0,0.93336254,1,0.8745383,1,1,0,1,Norman_Human metabolites.csv,0.3142857142857143,0,Transformation and metabolic products,CNC(=O)c1ccc(CN(Cc2ccco2)C(=O)Cc2csc(-c3ccccc3Cl)n2)cc1
580,"3-[[7-chloro-5-fluoro-3-(methylsulfamoyl)quinolin-4-yl]amino]-5-(3,5-difluorophenoxy)benzoic acid",CNS(=O)(=O)c1cnc2cc(Cl)cc(F)c2c1Nc1cc(Oc2cc(F)cc(F)c2)cc(C(=O)O)c1,C23H15ClF3N3O5S,,168991080,level 3,1,0.0052,0,0,0,0,0.94725215,1,0.8410504,1,0,0,1,Norman_Plant protection products.csv,0.3287671232876712,0,Pesticides,CNS(=O)(=O)c1cnc2cc(Cl)cc(F)c2c1Nc1cc(Oc2cc(F)cc(F)c2)cc(C(=O)O)c1
581,"(2S)-2-[(2,6-dichloropyridine-3-carbonyl)amino]-3-[4-[2-[6-(methylamino)-2-pyridinyl]ethoxy]phenyl]propanoic acid",CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3ccc(Cl)nc3Cl)C(=O)O)cc2)n1,C23H22Cl2N4O4,,25026332,level 3,3,0.0155,0,0,0,0,0.20573877,0,2.7588707e-05,0,1,0,1,Industrial_chemical.csv;Norman_Human metabolites.csv,0.4324324324324324,0,Industry and consumer goods,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3ccc(Cl)nc3Cl)C(=O)O)cc2)n1
582,methyl 2-[(2Z)-2-[2-[2-chloro-4-(trifluoromethyl)phenoxy]phenyl]-2-methoxyiminoethoxy]propanoate,CO/N=C(\COC(C)C(=O)OC)c1ccccc1Oc1ccc(C(F)(F)F)cc1Cl,C20H19ClF3NO5,,141776606,level 3,13,0.067,0,0,0,0,0.98801446,1,0.9802829,1,0,0,1,Norman_Human metabolites.csv,0.4202898550724637,0,Transformation and metabolic products,CO/N=C(\COC(C)C(=O)OC)c1ccccc1Oc1ccc(C(F)(F)F)cc1Cl
583,(2R)-2-amino-3-[[(3Z)-3-(carboxymethylidene)-1-[1-(2-chlorophenyl)-2-methoxy-2-oxoethyl]piperidin-4-yl]disulfanyl]propanoic acid,COC(=O)C(c1ccccc1Cl)N1CCC(SSC[C@H](N)C(=O)O)/C(=C\C(=O)O)C1,C19H23ClN2O6S2,,118565507,level 3,11,0.0567,0,0,0,0,4.806948e-08,0,6.7435035e-10,0,0,0,1,Norman_Human metabolites.csv,0.4722222222222222,0,Transformation and metabolic products,COC(=O)C(c1ccccc1Cl)N1CCC(SSC[C@H](N)C(=O)O)/C(=C\C(=O)O)C1
